ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
641,PROPICONAZOLE,PROPICONAFED  25 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,250 g/L,EC,INDIA COLOMBIA
642,ABAMECTIN + PYRIDABEN,SANTIMEC,INTEROC S.A SUCURSAL COLOMBIA,,"12 g/L, 90 g/L",EC,CHINA
643,THIAMETHOXAM,CENTRIC  75 SG,SYNGENTA S.A,,750 g/kg,SG,USA
644,METALAXYL-M,APRON XL 350 ES,SYNGENTA S.A,,350 g/L,ES,"FRANCIA
, ESPAÜA"
645,FIPRONIL,IXUS  200 SC,ROTAM AGRO COLOMBIA S.A.S,,200 g/L,SC,"CHINA, COLOMBIA"
646,CYHALOFOP BUTYL ESTER,SHARLOFOP 18 EC,SHARDA COLOMBIA S.A,,180 g/L,EC,INDIA
647,FENOXAPROP-P-ETIL,SHARFENOX 69 EC,SHARDA COLOMBIA S.A,,69 g/L,EC,INDIA
648,DIMETHOTHOMORPH,ANDIMORF 500 WP,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,500 g/L,WP,CHINA
649,CLORPIRIFOS,CLORFOS,LABORATORIOS CHALVER DE COLOMBIA S.A,,25 g/kg,DP,COLOMBIA
650,MEPANIPYRIM,FRUPICA 40 SC,SUMMIT AGRO COLOMBIA S.A.S,,436 g/L,SC,JAPON
651,DIMETHOMORPH,SHARDIMORF 500 WP,SHARDA COLOMBIA S.A.S,,500 g/L,WP,INDIA
652,BENALAXIM-M + MANCOZEB,FANTIC  M WG,ISAGRO COLOMBIA S.A.S,,"40 g/kg
650 g/kg",WG,ITALIA
653,VALIPHENAL + MANCOZEB,VALIS  M WG,FMC LATINOAMERICA S.A,,"60 g/Kg
600 g/Kg",WG,"ITALIA,BRASIL"
654,CARBENDAZIM,CARBENDAZIM INPRO 500 SC,INPROARROZ LTDA,,500 g/L,SC,CHINA
655,TEBUTHIURON,LAVA 800 WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,816 g/kg,WG,BRASIL SUDAFRICA
656,CYPERMETRIN,CIPERTRIN  200 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,,200 g/L,EC,COLOMBIA
657,"2,4-D",BATON SP,NUFARM COLOMBIA S.A,,800 g/kg,SP,INDIA
658,LUFENURON,SHARLEFENURON 50 EC,SHARDA COLOMBIA S.A.S,,50 g/L,EC,INDIA
659,PENDIMTHALIN,HELMPOWER 330 EC,HELM ANDINA LTDA,,330 g/L,EC,ECUADOR
660,IMAZAPIC,PANORAMIC  240 SL,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,240 g/L,SL,COLOMBIA ISRAEL
661,PROCHLORAZ,SHARCLORAZ 45 EC,SHARDA COLOMBIA S.A.S,,450 g/L,EC,INDIA
662,TEBUCONAZOLE,QUON 250 EC,PHYTOCARE S.A.S,,250 g/L,EC,CHINA
663,DIFENOCONAZOLE,PALADIUM 250 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,EC,ISRAEL COLOMBIA
664,BENTHIAVALICARB- ISOPROPYL + FOLPET,VINCARE ,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"17,5 g/kg
500 g/kg",WG,ISRAEL COLOMBIA
665,KRESOXIM-METHYL EPOXICONAZOLE,TRIGOLD 250 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"125 g/L ,
125 g/L",SC,COLOMBIA
666,CARFENTRAZONE ETHYL,SHARFENTRAZONE 400 EC,SHARDA COLOMBIA S.A,,400 g/L,EC,INDIA
667,DIFLUFENICAN,PELICAN  500 SC,FMC COLOMBIA S.A.S,,500 g/L,SC,ALEMANIA
668,CLOMAZONE,SHARCLOMAZON 48 EC,SHARDA COLOMBIA S.A,,480 g/L,EC,INDIA
669,ISOPROTIOLANE,RECIO 400 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,400 g/L,EC,CHINA COLOMBIA
670,PICLORAM + METSULFURON METHYL,TWINVAX,TECNOQUIMICAS  S.A,,"240 g/L ,
600 g/L",SL+ WG,CHINA COLOMBIA
671,GLIFOSATO,ROKO 480 SL,C.I BANACOL S.A,,480 g/L,SL,CHINA
672,CYPROCONAZOLE,ARCO 100 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,100  g/L,SL,COLOMBIA
673,IMIDACLOPRID,SEEDOPRID  60 FS,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,600 g/L,FS,ISRAEL
674,DIFLUBENZURON,DIFLIBENSH 25 WP,SHARDA COLOMBIA S.A.S,,250 g/kg,WP,INDIA
675,MANCOZEB,MANCOZEB WOHL 200,WOHL LTDA  C.I,,200 g/kg,WG,CHINA
676,PENDIMETALINA,PENDIMETALINA WOHL 330 EC,WOHL LTDA  C.I,,330 g/kg,EC,CHINA
677,GLIFOSATO,ATILA 747 SG,NUFARM COLOMBIA S.A,,680 g/kg equivalente a 747g/l en forma de sal,SG,CHINA
678,METSULFURON METHYL,METSUAGRO  600 WG,HELM ANDINA LTDA,,600 g/kg,WG,CHINA
679,"2,4 D + PICLORAM",BONANZA 240 SL,TECNOQUIMICAS  S.A,,"160 g/L equivalente 480 g/L en forma de sal , 80 g/L equivalente 138 g/L en forma de sal",SL,COLOMBIA CHINA
680,DIFENOCONAZOLE,ZOLDIFEN 250 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,,250 g/L,EC,COLOMBIA
681,CARBENDAZIM,ZIMCARBEN  500 SC,LABORATORIOS CHALVER DE COLOMBIA S.A,,500 g/L,SC,COLOMBIA
682,PYRAZOSULFURON- ETIL,CITENEX SC,AGROSER  S.A,,250 g/L,SC,VENEZUELA
683,"2,4 D +    PICLORAM",BONANZA 165 SL,TECNOQUIMICAS  S.A,,"150 g/L
15  g/L",SL,COLOMBIA CHINA
684,LAMBDA- CYHALOTRIN,SOFORT EC,RED SURCOS COLOMBIA LTDA,,50 g/L,EC,ESPAÜA
685,OXADIAZON,SHOOTER  380 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,380 g/L,SC,COLOMBIA
686,MANCOZEB + CYMOXANIL,EMCYM 72 WP,QUIMICOS OMA S.A,,"640 g/kg
80 g/kg",WP,INDIA
687,PROPINEB+ CYMOXANIL,BRINNK WP,RED SURCOS COLOMBIA LTDA,,"700 g/kg ,
60 g/kg",WP,ESPAÜA
688,QUIZALOFOP -P- TEFURIL,FUERA 120 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,120 g/L,EC,BRASIL ARGENTINA
689,PROPICONAZOLE,PROPICONAZOL INPRO 250 EC,INPROARROZ S.A,,250 g/L,EC,CHINA
690,"2,4-D AMINA","2,4-D AMINA INPRO SL",INPROARROZ S.A,,597 g/L,SL,CHINA
691,BUTACLOR,BUTACLOR INPRO 600,INPROARROZ S.A,,600 g/L,EC,CHINA
692,GLIFOSATO,GLIFOSATO INPRO SL,INPROARROZ LTDA,,"355,6 g/L
80 g/L",SL,CHINA
693,BISPYRIBAC SODIUM,BISPYRIBAC INPRO 100 SC,INPROARROZ S.A,,100 g/L,SC,CHINA
694,BISPYRIBAC SODIUM TECNICO,ARMY 400 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,400 g/lL,SC,COLOMBIA
695,FIPRONIL,RESTAR  SC,RED SURCOS COLOMBIA LTDA,,200 g/L,SC,CHINA
696,SAFLUFENACIL,HEAT  WG,BASF QUIMICA COLOMBIANA S.A,,700 g/kg,WG,"PUERTO RICO, BRASIL"
697,LUFENURON,ANDILUFEN,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,50 g/L,EC,CHINA
698,IMIDACLOPRID,SHARMIDACLOPRID  600 FS,SHARDA COLOMBIA S.A.S,,600 g/L,FS,INDIA
699,PICLORAM + METSULFURON METHYL,PADROTE  WG,AGROSER  S.A,,"240 g/L
600 g/Kg",SL  + WG,VENEZUELA
700,POLISULFURO DE CALCIO,POLYCAL,SAFER AGROBIOLOGICOS S.A.S,,200 g/L,SL,COLOMBIA
701,DIMETHOMORPH + MANCOZEB,DIMANCO  69 WP,SHARDA COLOMBIA S.A,,"90 g/L
600 g/l",WP,INDIA
702,IPRODIONE,QUIMERA  500 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/L,SC,ISRAEL COLOMBIA
703,THIAMETHOXAM,NUTAR  250 WG,NUFARM COLOMBIA S.A,,250 g/Kg,WG,CHINA
704,"PICLORAM     2,4-D",PICLOGAN SL,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,64 g/L,SL,CHINA
705,LAMBDA- CYHALOTHRIN,SHARCYALOTRINA 5% EC,SHARDA COLOMBIA S.A,,50 g/L,EC,INDIA
706,ACETAMIORID,KESTREL  20 SP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,200 g/kg,SP,COLOMBIA
707,NICOSULFURON,LOOP  240 SC,FMC COLOMBIA S.A.S,,240 g/L,SC,AUSTRIA ALEMANIA DINAMARCA
708,"2,4-D",SHARMINA 72 SL,SHARDA COLOMBIA S.A,,723 g/L,SL,INDIA
709,CYPROCONAZOLE + THIAMETHOXAM,VERDADERO  600  WG,SYNGENTA S.A,,"300 g/Kg,
300 g/Kg",WG,BRASIL
710,OXIFLUORFEN,OXIFLUORFEN INPRO 240 EC,INPROARROZ S.A.,,240 g/L,EC,CHINA
712,FLUFENOXURON,MORSE BRIO 200 SC,QUIMICOS OMA S.A,,200 g/L,SC,COLOMBIA
713,HEXITHIAZOX,LATHIX BRIO 108 SC,QUIMICOS OMA S.A,,108 g/L,SC,COLOMBIA
714,FIPRONIL,SHARFIP 80 WG,SHARDA COLOMBIA S.A.S,,800 g/L,WG,INDIA
715,DIFLUBENZURON,DIFUSE  480 SC,AGRIPHAR DE COLOMBIA S.A.S,,480 g/L,SC,BELGICA
716,CIPERMETRINA,CIPERMETRINA INPRO 200 EC,"INDUSTRIA PRODUCTORA DE ARROZ
S.A  INPROARROZ S.A",,200 g/L,EC,CHINA
717,HIDROCLORATO DE FORMETANATO,DICARZOL 50 SP,"MAYORISTAS  AGRICOLAS
S.A  MAGRO S.A",,582 g/Kg,SP,"ESTADOS UNIDOS, FRANCIA"
718,LAMBDA- CYHALOTRIN,ATHRIN BRIO 100 SC,QUIMICOS OMA S.A,,100 g/L,SC,COLOMBIA
719,TETRADIFON,DIFON BRIO 160 SC,QUIMICOS OMA S.A,,160 g/L,SC,COLOMBIA
720,PERMETHRIN,SHARMETHRIN 38 EC,SHARDA COLOMBIA S.A.S,,380 g/L,EC,INDIA
721,MANCOZEB,INDOFIL M- 45,AGRICSERVICES COLOMBIA LTDA,,600 g/Kg,WP,INDIA
722,FENPROPIDIN,INSTINCT 750 EC,CHEMINOVA AGRO DE COLOMBIA S.A,,750 g/L,EC,DINAMARCA
723,DIMETHOMORPH,GAITERO WP,AGROSER  S.A,,500 g/Kg,WP,VENEZUELA CHINA
724,ABAMECTINA,BACMENTIN   18 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,,18 g/L,EC,COLOMBIA
725,FIPRONIL,FIPRONOVA  80 WG,FMC COLOMBIA S.A.S,,800 g/Kg,WP,ALEMANIA CHINA
726,IMIDACLOPRID,PICUS  600 FS,FMC COLOMBIA S.A.S,,600 g/L,FS,URUGUAY ALEMANIA
727,CYHALOFOP BUTYL,LAREDO 180 EC,TECNOQUIMICAS  S.A,,180 g/L,EC,CHINA COLOMBIA
728,DIFENOCONAZOLE,DIVINO 250 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,EC,ISRAEL COLOMBIA
729,BUTACHLOR,BUTACHLOR 600 EC,DVA DE COLOMBIA LTDA,,600 g/L,EC,CHINA
730,CLOROTALONIL,DURONIL  720 SC,HELM ANDINA LTDA,,720 g/L,SC,CHINA
731,CHLORPYRIFOS,"ATTAMIX  0,125 SB",MINAGRO INDUSTRIA QUIMICA LTDA,,"0,00125 g/kg",SB,COLOMBIA
732,HIDROXIDO DE COBRE,CHAMP  DP,NUFARM COLOMBIA S.A,,576 g/Kg,WG,ESTADOS UNIDOS CHILE
733,THIABENDAZOLE,SHARBENDAZOL 500 SC,SHARDA COLOMBIA S.A,,500 g/L,SC,INDIA
734,FURALAXYL - M,FRILEX,INTEROC S.A SUCURSAL COLOMBIA,,125 g/L,EC,ARGENTINA
735,DIFECONAZOLE + PROPICONAZOLE,BRISK  500 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"250 g/L
250 g/L",EC,"COLOMBIA, ISRAEL"
736,CYPROCONAZOLE+ AZOXYSTROBIN,PRIORI  ZTRA,SYNGENTA S.A,,"80 g/L
200 g/L",SC,REINO UNIDO BRASIL
737,DIFLUBENZURON+ LAMBDA- CYHALOTRINA,TOTTEM,INTEROC S.A SUCURSAL COLOMBIA,,"251 g/Kg
102 g/Kg",WP,CHINA ECUADOR
738,TEBUCONAZOLE,FUNGOZEB 25 EW,AGROSER  S.A,,250 g/L,EW,COLOMBIA
739,ACEFATO IMIDACLOPRID,SEROK,INTEROC S.A SUCURSAL COLOMBIA,,"450 g/Kg ,
250 g/Kg",WP,CHINA ECUADOR
740,IMAZAPIC + IMAZAPYR,MAYORAL  350 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"262.5 g/L,
87.5 g/L",SL,ISRAEL COLOMBIA
741,PENDIMETHALIN,SHARDIMETALIN 40 EC,SHARDA COLOMBIA S.A,,400 g/L,EC,INDIA
743,CYPROCONAZOLE + AZOXYSTROBIN,AMISTAR   ZTRA,SYNGENTA S.A,,"80 g/L
200 g/L",SC,REINO UNIDO BRASIL
744,OXICLORURO DE COBRE AL 35%,"OXICLORURO DE
COBRE AL 35%",DIABONOS S.A,,614 g/Kg,WP,COLOMBIA
745,DIMETHOMORPH + CHLOROTHALONIL,QUORUM   480 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"80 g/Kg
400 g/kg",WG,"COLOMBIA, ISRAEL"
746,CYPROCONAZOLE,SHYPRO SL,SHARDA COLOMBIA S.A.S,,100 g/L,SL,INDIA
747,FLUSILAZOL,FLUSHI 40 EC,SHARDA COLOMBIA S.A,,400 g/L,EC,INDIA
748,DIFECONAZOLE,DIFEX   250 EC,AGRIPHAR DE COLOMBIA S.A.S,,250 g/L,EC,BELGICA
749,IMIDACLOPRID + LAMBDA-CIALOTRINA,GEMINIS   WP,ANASAC COLOMBIA LTDA,,"228 g/Kg
100 g/Kg",WP,"CHILE, CHINA"
750,IMIDACLOPRID,WASABI  350 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,350 g/L,SC,COLOMBIA ISRAEL
751,GLYPHOSATE,ATILA 480 SL,NUFARM COLOMBIA S.A,,360 g/L,SL,COLOMBIA
752,PROPINEB Y CYMOXANIL,PROPIXANILVECOL 76% WP,COLOMBIANA DE PRODUCTOS VETERINARIOS S.A VECOL S.A,,"700 g/Kg
60 g/Kg",WP,CHINA
753,DICLORAN,CLORTRAN 75 WP,"MAYORISTAS  AGRICOLAS
S.A  MAGRO S.A",,750 g/kg,WP,ESTADOS UNIDOS
754,ISOPROTHIOLANE + KASUGAMYCIN,CACIQUE 420 SC,QUIMICOS OMA S.A,,"400 g/L,
20 g/L",SC,"COLOMBIA, CHINA"
755,ABAMECTINA,PILARMECTIN 1.8 EC,PILARQUIM DE COLOMBIA LTDA,,18 g/L,EC,CHINA
756,BUTACLOR,PILARSETE 600 EC,PILARQUIM DE COLOMBIA LTDA,,600 g/L,EC,CHINA
757,CARBENDAZIM,PILARSTIN 500 SC,PILARQUIM DE COLOMBIA LTDA,,500 g/L,SC,CHINA
758,FIPRONIL,SOFION 80 WG,AGROSER  S.A,,800 g/kg,WG,VENEZUELA
759,FIPRONIL,SOFION  200 SC,AGROSER  S.A,,200 g/L,SC,VENEZUELA
761,CARBENZAMIM,CARBENDER 50 SC,TORREAGRO S.A.S,,500 g/L,SC,"ESPAÜA, CHINA"
762,CYHALOFOP BUTIL,BOLD 180 EC,PHYTOCARE  S.A.S,,180 g/L,EC,CHINA
763,GLUFOSINATE AMMONIUM,GLUFOMAX 150 SL,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,150 g/L,SL,CHINA
764,CLOROTALONIL,ANDONIL 720 SC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,720 g/L,SC,CHINA
765,PENDIMETALIN,PENDIMETALINA 400 EC,PHYTOCARE S.A.S,,400 g/L,EC,CHINA
766,FIPRONIL,FACTOR 200 SC,PHYTOCARE S.A.S,,200 g/L,SC,CHINA
767,DIMETHOMORPH,DIMETHOMORF VECOL 50%WP,VECOL S.A,,500 g/Kg,WP,CHINA
768,PICLORAM,METRERO 240 SL,NUFARM COLOMBIA S.A,,240 g/L,SL,"BRASIL, ESTADOS UNIDOS, CHINA"
769,LUFENURON,ERAGON 50 EC,PHYTOCARE S.A.S,,50 g/L,EC,CHINA
770,ABAMECTIN,VERTIZELL 18 EC,ZELL CHEMIE COLOMBIA LTDA,,1.8 g/L,EC,ESPAÜA
771,FLUTRIAFOL,POINTER  250 SC,FMC COLOMBIA S.A.S,,250 g/L,SC,DINAMARCA URUGUAY ALEMANIA ARGENTINA
772,DIMETHOATE,"DANADIM PROGRESS
400 EC",FMC COLOMBIA S.A.S,,400 g/L,EC,DINAMARCA
773,CHLORANTRANILIPR OLE THIAMETHOXAM,VOLIAM  FLEXI,SYNGENTA S.A,,"100/g/L,
200 g/L",SC,FRANCIA ESTADOS UNIDOS
774,TEBUCONAZOLE,YOPOL 250  EW,TECNOQUIMICAS  S.A,,250 g/L,EW,"COLOMBIA, CHINA"
775,ABAMECTIN,ABACMETINA YASER 1.8 EC,YASER S.A.S,,18 g/L,EC,CHINA
776,CLOROTALONIL,RIDONATE  720 SC,IMCOLVET LTDA,,720 g/L,SC,ECUADOR
777,CLOMAZONE,CLOMAZIN 480 EC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,480 g/L,EC,CHINA
778,PICLORAM,PASO 240 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,240 g/L,SL,COLOMBIA
779,CHLORPIRIFOS,RAFAGA  2.5 DP,INVESA  S.A,,25 g/Kg,DP,COLOMBIA
780,PROPAMOCARB CYMOXANIL,CANTON 450 SC,AGRIPHAR DE COLOMBIA S.A.S,,"400 g/L
50 g/L",SC,BELGICA
781,DIFENOCONAZOLE,DIFENOSELL 250 EC,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,,250 g/L,EC,CHINA
782,TEBUCONAZOLE,TEBUSELL 250 EW,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,,250 g/L,EW,CHINA
783,PROPAMOCARB HIDROCLORURO,PROPAMOTAL N-SL,TALANU CHEMICAL LTDA,,700 g/L,SL,CHINA
784,BUTACLOR,BUTASELL 600 EC,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,,600 g/L,EC,CHINA
785,GLIFOSATO,GLIFOSELL 480 SL,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,,480 g/L,SL,CHINA
786,FIPRONIL,MENTOR  250 FS,CHEMINOVA AGRO DE COLOMBIA S.A,,250 g/L,FS,"URUGUAY, ALEMANIA, CHINA, DINAMARCA"
787,FOSETYL-ALUMINIUM,FOSSILE 80 WP,TALANU CHEMICAL LTDA,,800 g/Kg,WP,CHINA
788,OXADIAZON,INTRUSO 380 SC,INVESA  S.A,,380 g/L,SC,COLOMBIA
789,OXADIAZON,INTRUSO 250 EC,INVESA  S.A,,250 g/L,EC,COLOMBIA
790,ISOPROTHIOLANE,ISOLAN EVOFARMS 40,UPL COLOMBIA S.A.S.,,400 g/L,EC,CHINA
791,"ACIDO 2,4-D PICLORAM",FICLORAM,SEMBRO S.A,,"240 g/L
64 g/L",SL,CHINA
792,AZOXYSTROBIN TEBUCONAZOLE,CUSTODIA   320 SC,PROFICOL ANDINA  B.V SUCURSAL COLOMBIA,,"120 g/L,
200 g/L",SC,"COLOMBIA, ISRAEL"
793,DIMETHOMORPH,INVADER  WP,BASF QUIMICA COLOMBIANA S.A,,500 g/Kg,WP,BRASIL
794,BUPROFEZIN,BUPROFENCH 25 SC,SHARDA COLOMBIA S.A.S,,250 g/L,SC,INDIA
795,TEBUCONAZOLE,RIZA  25 EW,FMC COLOMBIA S.A.S,,250 g/L,EW,DINAMARCA CHINA
796,TEBUCONAZOLE,OFICIAL 250 EW,"POINT DE COLOMBIA
S.A.S",,250 g/L,EW,CHINA
797,BISPYRIBAC,BISO SC,TORREAGRO S.A.S,,105 g/L,SC,ESPAÜA
798,HEXITHIAZOX,KARPY WP,TORREAGRO S.A.S,,100.5 g/Kg,WP,"ESPAÜA,CHINA"
799,CARBENDAZIM + DIETHOFENCARB,DELTAMIN 750 SC,QUIMICOS OMA S.A,,"375 g/L
375 g/L",SC,"CHINA, COLOMBIA"
800,DIMETHOMORPH,STAROF  WP,RED SURCOS COLOMBIA LTDA,,500 g/Kg,WP,CHINA
801,DIMETHOMORPH FOLPET,EFECTIVE   WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"113 g/Kg
600 g/Kg",WG,ISRAEL
802,METSULFURON - METHYL,ROZAR   60 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,600 g/Kg,WG,"CHINA, COLOMBIA"
803,METSULFURON - METHYL,SULFON   600 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,600 g/Kg,WG,"COLOMBIA, CHIN A"
804,IMIDACLOPRID,GATILLO 350 SC,POINT DE COLOMBIA S.A.S,,"36,10% W/V",SC,CHINA
805,FIPRONIL,FIPROFED SEMILLAS FS,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,200 g/L,FS,"COLOMBIA, INDIA"
806,DIFECONAZOLE PROPICONAZOLE,DUOFED 500 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,"250 g/L
250 g/L",EC,COLOMBIA
807,METALAXYL + MANCOZEB,METALAFED 72 WP,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,"80 g/Kg ,
640 g/Kg",WP,"COLOMBIA, INDIA"
808,CYROMAZINA,COHETE 75 WP,POINT DE COLOMBIA S.A.S,,75.76%,WP,CHINA
809,"IMIDACLOPRID, BIFENTRINA",NILO  300 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"250 g/L
50 g/L",SC,"ISRAEL
,COLOMBIA"
810,ISOPYRAZAM,UMBERILIA   125 EC,SYNGENTA S.A,,125 g/L,EC,SUIZA
811,ABAMECTIN,ABALONE 18 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,18 g/L,EC,BELGICA
812,GLYPHOSATE OXYFLUORFEN,ZOOMER 390 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"360 g/L
30 g/L",SC,ISRAEL COLOMBIA
813,FOSETYL ALUMINIUM FOLPET,FARMER WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"500 g/Kg ,
250 g/Kg",WG,ISRAEL COLOMBIA
814,"PICLORAM
+ 2,4 -D",TROPICIO   SL,INVESA  S.A,,"15 g/L
150 g/L",SL,COLOMBIA
815,"PICLORAM 2,4-D",ESCORPION SL,INVESA  S.A,,"80 g/L
160 gL",SL,COLOMBIA
816,DIURON,TRILLA   80 WG,INVESA  S.A,,800 g/Kg,WG,CHINA
817,ATRAZINE,ATRAZINA INVESA 500,INVESA  S.A,,500 g/L,SC,COLOMBIA
818,CLOROTALONIL,CENTAURO  720 SC,INVESA  S.A,,720 g/L,SC,COLOMBIA
819,DIMETHOMORPH AMETOCTRADIN,ZAMPRO  SC,BASF QUIMICA COLOMBIANA S.A,,"225 g/L,300 g/L",SC,"BRASIL ESPAÜA, FRANCIA, ESTADOS UNIDOS"
820,GLIFOSATO,GLIFOMAX 480 SL,AGRODIA S.A,,355.6 g/L,SL,CHINA
821,AMITRAZ BIFENTRIN,ABBRA ME,INTEROC S.A SUCURSAL COLOMBIA,,100 g/L,ME,ECUADOR
822,CARBENDAZIM,RICHTIK SC,RED SURCOS COLOMBIA LTDA,,500 g/L,SC,ESPAÜA
823,IMIDACLOPRID,WARRANT  350 SC,FMC COLOMBIA S.A.S,,350 g/L,SC,URUGUAY ALEMANIA
824,CYMOXANIL MANCOZEB,CURAXIL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"80  g/Kg
640 g/Kg",WP,"CHINA,INDIA, BULGARIA"
825,CYMOXANIL MANCOZEB,CURAXIL  ZETA 720,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"80 g/K/g,   640 g/Kg",WP,CHINA
826,KRESOXIM-METHYL SPIROXAMINE,MERIDIAN,INTEROC S.A SUCURSAL COLOMBIA,,"250 g/L,250 g/L",SE,ECUADOR
827,METSUFURON METILINPRO 600 WG,METSULFURON METIL INPRO 600 WG,INPROARROZ S.A,,600 g/Kg,WG,CHINA
828,TRIADIMERON,TRIADIMEFON INPRO 250 EC,INPROARROZ LTDA,,250 g/L,EC,CHINA
829,FOSETYL ALUMINIUM PROPAMOCARB,PREVALOR SL,BAYER S.A,,"310 g/L, 530g/L",SL,ALEMANIA COLOMBIA
830,PROPANIL TRICLOPYR,ATALAR  RICECO,RICECO  INTERNATIONAL COLOMBIA S.A.S,,"380 g/L, 40 g/L",EC,COLOMBIA
831,DIFENOCONAZOLE PROPICONAZOLE,CICLOPE  500 EC,INVESA S.A,,"250 g/L, 250 g/L",EC,COLOMBIA
832,"2,4-D AMINA",SANZIR 720 SL,IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS LTDA IMCOLVET,,600 g/L,SL,ECUADOR
833,TEBUCONAZOL,ICARUS EC,TORREAGRO S.A.S,,"26,32 g/L",EC,"ESPAÜA ,CHINA"
834,PYRIMETHANIL,DAZOLE 400 SC,TECNOQUIMICAS  S.A,,400 g/L,SC,COLOMBIA CHINA
835,LAMDA CYHALOTRIN,KAISO  WG,NUFARM COLOMBIA S.A,,240 g/Kg,WG,"AUSTRALIA, NUEVA ZELANDA"
836,ISOPYRAZAM,REFLECT  125 EC,SYNGENTA S.A,,125 g/L,EC,SUIZA
837,CYENOPYRAFEN,STARMITE 30 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,314 g/L,SC,JAPON
838,DIURON,TRILLA   800 SC,INVESA  S.A,,800 g/L,SC,COLOMBIA
839,AZOXYSTROBIN,FEUDAL 25 SC,TECNOQUIMICAS  S.A,,250 g/L,SC,"CHINA, COLOMBIA"
840,CLOMAZONE,TERTAN 48 EC,TECNOQUIMICAS  S.A,,480 g/L,EC,CHINA
841,FOSETYL ALUMINIO,PILARFARM 80 WP,PILARQUIM DE COLOMBIA LTDA,,800 g/kg,WP,CHINA
842,IMIDACLOPRID,IMIDACLOPRID INPRO 350 SC,"INDUSTRIA PRODUCTORA DE ARROZ LTDA "" INPROARROZ LTDA""",,350 g/ L,SC,CHINA
843,DODEMORF ACETATO,ASTRO EVOFARMS EC,UPL COLOMBIA S.A.S.,,400 g/L,EC,CHINA
844,NOVALURON TECNICO,PONTO  100 EC,FMC LATINOAMERICA S.A,,100 g/L,EC,BRASIL COLOMBIA
845,BIFENTRINA,PROSTORE 25 EC,FMC LATINOAMERICA S.A,,25 g/L,EC,BEASIL
846,CLOMAZONE HEXAZINONA,DISCOVER 500 WP,FMC LATINOAMERICA S.A,,"400 g/Kg, 100 g/Kg",WP,BRASIL
847,DIMETOMORPH,AGILITY 500 WP,NUFARM COLOMBIA S.A,,500 g/L,WP,CHINA
