ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
131,CARBENDAZIM,CROPZIM 500 CS,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,500 g/L,SC,CHINA
132,OXADIAZON,SAAT QUARTETTO 250,SAAT ANDINA S.A.,,250 g/L,EC,CHINA
133,METOMYL,METHOX 40 SP,UPL COLOMBIA S.A.S.,,400 g/kg,SP,"REINO UNIDO, CHINA"
134,"PICLORAM  + 2,4-D",ARBUSKIP 101 SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"64 g/L,240 g/L",SL,COLOMBIA
135,IMAZOSULFURON,TORIDE 10 SC,SUMITOMO CORPORATION COLOMBIA S.A.S,,100 g/L,SC,JAPON
136,"GLIFOSATO + 2,4-D AMINA",FAITER SL,AGROSER  S.A,,120 -160 g/L,SL,VENEZUELA
137,TEBUCONAZOLE,SAAT RAP 250 EC,SAAT ANDINA S.A.,,250 g/L,EC,REPUBLICA POPULAR CHINA
138,"2,4-D",HERBIMEX 720 SL,CIBOCHEM S.A.S,,598 g/L,SL,ESPAÜA
139,OXADIAZON,EVOXON 25 EC,UPL COLOMBIA S.A.S.,,250 g/L,EC,"REINO UNIDO,CHINA"
140,GLIFOSATO,TOUCHDOWN  IQ SL,SYNGENTA S.A,,500 g/L,SL,"COLOMBIA, BELGICA"
141,CARBENDAZIM,EVOZIM 500 SC,UPL COLOMBIA S.A.S.,,500 g/L,SC,"INGLATERRA, CHINA"
142,PROPICONAZOL,UNDAZOL,CIBOCHEM S.A.S,,250 g/L,EC,ESPAÜA
143,OXADIAZON,CELEBRITY 25 EC,SUCROP S.A.,,250 g/L,EC,ESPAÜA
144,GLIFOSATO,GLIFOGEN 480 SL,NUFARM COLOMBIA S.A,,480 g/L,SL,CHINA
145,CARBENDAZIM,CARBENDAZIM VECOL 500 SC,VECOL S.A,,500 g/L,SC,CHINA
146,BISPYRIBAC SODIUM,HERBANEE 100 SC,UNDAGRO S.A.,,100 g/L,SC,CHINA
147,FLONICAMID,TURBINE 50 WG,FMC   LATINOAMERICANA S.A,,50%,WG,ESTADOS UNIDOS DE AMERICA
148,CARBENDAZIM,CARBEDAZIM OMA 500 SC,QUIMICOS OMA LTDA,,500 g/L,SC,ESPAÜA
149,TRIADIMEFON,RODIFON 25 EC,ROTAM AGRO COLOMBIA S.A.S,,250 g/L,EC,CHINA
150,MANCOZEB,CLABE   ZEB 80 WP,RED SURCOS COLOMBIA LTDA,,800 g/kg,WP,INDIA
151,PROPAMOCARB HCL,PROPLANT  SL,ISAGRO COLOMBIA S.A.S,,722 g/L,SL,BELGICA
152,OXADIAZON,MARTE,AGRO S.A.,,250 g/L,EC,ESPAÜA
153,PROPICONAZOLE,POWEREX  250 EC,CIBOCHEM S.A.S,,250 g/L,EC,ESPAÜA
154,METOMYL,METHOX 216 SL,UPL COLOMBIA S.A.S.,,216 g/L,SL,"REINO UNIDO,CHINA"
155,EPOXICONAZOLE + KRESOXIM METHYL,JUWEL  SC,BASF QUIMICA COLOMBIANA S.A,,"125 g/L,
125 g/L",SC,"ALEMANIA, ESPAÜA, BRASIL, FRANCIA"
156,PENDIMETALINA,PENDIMETALINA 330 EC AGROSER,AGROSER  S.A,,330 g/L,EC,"VENEZUELA, CHINA"
157,BIFENTRIN,BLIFEX TREEBAGS,FMC   LATINOAMERICANA S.A,,1.0 g/kg,BOLSAS  DE POLIETILEN O,"GUATEMALA, ECUADOR, COLOMBIA"
158,BISPYRIBAC SODIUM,PALADIN 100 SC,TRUST QUIMICA S.A.S,,100 g/L,SC,CHINA
159,IMIDACLOPRID,SILVER 350 SC,TRUST QUIMICA S.A.S,,350 g/L,SC,CHINA
160,PROPICONAZOL,FOSTER 250 EC,TRUST QUIMICA S.A.S.,,250 g/L,EC,CHINA
161,METALAXIL + MANCOZEB,EVOXYL  72 WP,UPL COLOMBIA S.A.S.,,"80 g/kg
640, g/kg",WP,"CHINA,REINO UNIDO"
162,THIAMETOXAN + LAMBDA- CYHALOTRIN,ENGEO ,SYNGENTA S.A,,"141 g/L
106 g/L",SC,"SUIZA, BRASIL, ESTADO
S UNIDOS"
163,IMIDACLOPRID,MENTOR,COLINAGRO S.A,,350 g/L,SC,ESPAÜA
164,IMIDACLOPRID,IMIDACLOPRID VECOL 350 SC,VECOL S.A,,350 g/L,SC,CHINA
165,FOSETIL ALUMINIO,TALISMAN 80 WP,TRUST QUIMICA S.A.S.,,800 g/kg,WP,CHINA
166,CARBENDAZIM,CARBENDAGRO 500 SC,ROAGRO E. U.,,500 g/L,SC,ESPAÜA
167,BUTACLOR,BUTACLOR ROAGRO 600 EC,ROAGRO E. U.,,639 g/L,EC,ESPAÜA
168,MANCOZEB,VIGILANT 80 WP,TRUST QUIMICA S.A.S.,,800 g/kg,WP,CHINA
169,TRICYCLAZOL,TRYCICLAZOL VECOL 75% WP,VECOL S.A,,750 g/kg,WP,CHINA
170,IPRODIONE,VOIDER  500 SC,TRUST QUIMICA S.A.S.,,500 g/L,SC,CHINA
171,CARBENDAZIM,FORDAZIM  500 SC,TRUST QUIMICA S.A.S,,500 g/L,SC,CHINA
172,PROPICONAZOL,HELD 250 EC,HELM ANDINA LTDA,,250 g/L,EC,INDIA
173,CARBENDAZIM,CARBENDAGEN 500 SC,NUFARM COLOMBIA S.A,,500 g/L,SC,INDIA
174,CALDO BORDELES - MANCOZEB,CUPROFIX DISPERSS 30 WG,ISAGRO COLOMBIA S.A.S,,"47.1 %, 34.5 %",WG,FRANCIA
175,DIFENOCONAZOLE Y PROPICONAZOLE,DIFENOPROPICONAZOL VECOL 500 EC,VECOL S.A,,"250 g/L,
50 g/L",EC,CHINA
176,,,,REGISTRO NACIONAL CANCELADO,,,
177,BUTACLOR,HERBACLOR 600 EC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,,600 g/L,EC,ESPAÜA COLOMBIA
178,MANCOZEB + CYMOXANIL,MANCOZEB + CYMOXANIL VECOL 72% WP,VECOL S.A,,"640 g/kg
80 g/kg",WP,REPUBLICA POPULAR CHINA
179,DIFENOCONAZOLE,DIFENOCONAZOL VECOL 250 EC,VECOL S.A,,250 g/L,EC,CHINA
180,PROPINEB,PROPINEB VECOL 70% WP,VECOL S.A,,700 g/kg,WP,CHINA
181,S-METOLACHLOR,METHOLACLOR VECOL 960 EC,VECOL S.A,,960 g/L,EC,CHINA
182,CARBENDAZIM,AGNA  500 SC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,,500 g/L,SC,"ESPAÜA, COLOMBIA"
183,MEZCLA DE AVERMECTINAS B1b y AVERMECTINA B1a,MECTIN 1.8 EC,UPL COLOMBIA S.A.S.,,18 g/L,EC,"INGLATERRA, CHINA"
184,OXADIAZON,DEBROX 250 EC,TECNOQUIMICAS  S.A,,250 g/L,EC,CHINA
185,PARAQUAT,PARAQUAT VECOL 200 SL,VECOL S.A,,200 g/L,SL,REPUBLICA POPULAR CHINA
186,CLOMAZONE,SAAT MINUETTO 480 EC,SAAT ANDINA S.A.,,480 g/L,EC,CHINA
187,IMIDACLOPRID,INSECTOPRID 350 SC,CIBOCHEM S.A.S,,350 g/L,SC,ESPAÜA
188,GLIFOSATO,GLIFOSATO VECOL 480 SL,VECOL S.A,,356 g/L,SL,REPUBLICA POPULAR DE CHINA
189,OXADIAZON,BUMERANG 25 EC,TRUST QUIMICA S.A.S,,250 g/L,EC,CHINA
190,ABAMECTINA - MEZCLAS DE AVERMECTINAS,UNDAMECTINA,UNDAGRO S.A.,,18 g/L,EC,ESPAÜA
191,ABAMECTINA - MEZCLAS DE AVERMECTINAS,ACAFIN,AGRO S.A.,,18 g/L,SC,ESPAÜA
192,CARBENDAZIM,BELICO  500 SC,INVESA  S.A,,500 g/L,SC,COLOMBIA
193,IMIDACLOPRID,SOFARIN  350 SC,TECNOQUIMICAS S.A,,350 g/L,SC,"CHINA, COLOMBIA"
194,PENDIMETALINA,PENDIMETALINA VECOL 400 EC,VECOL S.A,,400 g/L,EC,CHINA
195,BIFENTHRIN,BRIGADA 100 EC,FMC   LATINOAMERICANA S.A,,100 g/L,EC,BRASIL ESTADOS UNIDOS
196,TERBUTREX 80 WG,TERBUTREX 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/kg,WG,ISRAEL
197,BISPYRIBAC SODIUM,BISPY-AGRO 100 SC,HELM ANDINA LTDA,,100 g/L,SC,CHINA
198,TRICYCLAZOL,SAAT CUMBIA 75 WP,SAAT ANDINA S.A.,,75%,WP,REPUBLICA POPULAR CHINA
199,MANCOZEB + CYMOXANIL,MANCYL WP,FMC COLOMBIA S.A.S,,"640 g/kg
80 g/kg",WP,"ESPAÜA ,INDIA, CHINA"
200,ABAMECTINA,"ABINSEC 1,8 EC",GENFAR S.A.,,18 g/L,EC,ESPAÜA COLOMBIA
201,OXADIAZON,COMANCHE 25 EC,WATINUS S.A.S,,250 g/L,EC,ESPAÜA
202,OXADIAZON,OXADIAZON VECOL 250 EC,VECOL S.A,,250 g/L,EC,CHINA
203,TERBUTRINA + AMETRINA,AMIGAN 65 WG,ADAMA ANDINA B.V SUCURSAL COLOMIA,,"400 g/kg,
250 g/kg",WG,ISRAEL
204,CARBENDAZIM,FENIX,AGRO S.A.,,500 g/L,SC,ESPAÜA
206,BISPYRIBAC SODIUM,BYSPIRIBAC VECOL 100 SC,VECOL S.A,,100 g/L,SC,CHINA
207,ATRAZINA,ATRAZINA VECOL 90% WG,VECOL S.A,,890 g/kg,WG,CHINA
208,ETHOXYSULFURON + IODOSULFURON METHYL SODIUM,ESTALION WG,BAYER CROPSCIENCE S.A,,"125 g/kg,
12.5 g/kg",WG,ALEMANIA
209,OXADIAZON,OXADIAZON CHEMO,MADECHEM S.A.,,250 g/L,EC,ESPAÜA
210,MANCOZEB + CYMOXANIL,TRANCA 72 WP,TRUST QUIMICA S.A.S.,,"80 g/Kg
720 g/Kg",WP,CHINA
211,ABAMECTINA,ABAMECTINA 1.8 EC AGRICENSE,AGRICENSE LTDA,,18 g/L,EC,ESPAÜA
212,"PICLORAM  + 2,4-D",CAMPERO 304 SL,INVESA - INVEQUIMICA S.A.,,"115 g/L
447 g/L",SL,COLOMBIA
213,IMIDACLOPRID,EVOPRID 600 FS,UPL COLOMBIA S.A.S.,,600 g/L,FS,"INGLATERRA, CHINA, INDIA"
214,METIRAM,AGUILA WG,BASF QUIMICA COLOMBIANA S.A,,700 g/kg,WG,ALEMANIA
215,PYRIMETHANIL,PIRIMUS 400 SC,AGRIPHAR DE COLOMBIA S.A.S,,400 g/L,SC,BELGICA
